instr,31:26,25:21,20:16,15:11,10:6,5:0,rsSelect,rtSelect,rdSelect,registerWE,immediateSelect,ALU Select
add,000000,rs,rt,rd,00000,100000,rs,rt,rd,1,0,0000
sub,000000,rs,rt,rd,00000,100010,rs,rt,rd,1,0,0001
addi,001000,rs,rt,00000,00000,00000,rs,00000,rt,1,1,0000
mult,000000,rs,rt,00000,00000,011000,rs,rt,00000,0,0,0010
div,000000,rs,rt,00000,00000,011010,rs,rt,00000,0,0,0011
mflo,000000,00000,00000,rd,00000,010010,00000,00000,rd,1,0,0111
mfhi,000000,00000,00000,rd,00000,010000,00000,00000,rd,1,0,1000
sll,000000,00000,rt,rd,shamt,000000,00000,rt,rd,1,0,0100
srl,000000,00000,rt,rd,shamt,000010,00000,rt,rd,1,0,0101
slt,000000,rs,rt,rd,00000,101010,rs,rt,rd,1,0,0110
lw,100011,rs,rt,00000,00000,00000,rs,rt,rt,1,1,0000
sw,101011,rs,rt,00000,00000,00000,rs,rt,00000,0,1,0000
beq,000100,rs,rt,00000,00000,00000,rs,rt,00000,0,0,0001
bne,000101,rs,rt,00000,00000,00000,rs,rt,00000,0,0,0001
j,000010,00000,00000,00000,00000,000000,00000,00000,00000,0,0,1111
jal,000011,00000,00000,11111,00000,000000,00000,00000,11111,1,0,0000
jr,000000,rs,00000,00000,00000,001000,rs,00000,00000,0,0,1111
jalr,000000,rs,00000,rd,00000,001001,rs,00000,rd,1,0,0000
syscall,000000,00000,00000,00000,00000,001100,00000,00000,00000,0,0,1111
